      Unix Time              Julian Date        RA      BorS            DEC     MSDPK                   DETPOW             MEANPOW       FINECHAN       COARCHID          ifreq
     1433869511           2457183.250000   6.14054        10         12.415         0        5758958592.000000    119407616.000000          56174            151        325.109
     1433869511           2457183.250000   6.14054        10         12.415         0      844732891136.000000    615357632.000000              0            252        336.109
     1433869511           2457183.250000   6.14054        11         12.415         0        4491725312.000000     92163840.000000          56174            151        325.109
     1433869511           2457183.250000   6.14054        11         12.415         0        3984556288.000000    150897408.000000          22569            197        330.113
     1433869511           2457183.250000   6.14054        11         12.415         0      185257656320.000000    266246032.000000              0            252        336.109
     1433869511           2457183.250000   6.13898        12         12.516         0        2914325504.000000     97490944.000000          93623             42        3897.11
     1433869511           2457183.250000   6.13898        12         12.516         0        2272222720.000000     89397504.000000          44262             67        315.912
     1433869511           2457183.250000   6.13898        12         12.516         0        5632932864.000000     89600768.000000          44274             67        315.912
     1433869511           2457183.250000   6.13898        12         12.516         0        1319585024.000000     62423296.000000          56173            151        325.109
     1433869511           2457183.250000   6.13898        12         12.516         0        6968859648.000000     62439168.000000          56174            151        325.109
     1433869511           2457183.250000   6.13898        12         12.516         0       15088028672.000000    107041344.000000          22569            197        330.113
     1433869511           2457183.250000   6.13898        12         12.516         0      111815573504.000000    158195440.000000              0            252        336.109
     1433869511           2457183.250000   6.13898        13         12.516         0        4068613632.000000    154934576.000000              0             28        311.609
     1433869511           2457183.250000   6.13898        13         12.516         0        2444596992.000000     74158592.000000          56173            151        325.109
     1433869511           2457183.250000   6.13898        13         12.516         0       11322627072.000000     74167808.000000          56174            151        325.109
     1433869511           2457183.250000   6.13898        13         12.516         0        3301704704.000000     70330880.000000          56174            152        325.219
     1433869511           2457183.250000   6.13898        13         12.516         0      680208433152.000000    474899456.000000              0            252        336.109
     1433869512           2457183.250000   6.13444         0        12.4578         0        3104773376.000000     59530496.000000          56174            151        325.109
     1433869512           2457183.250000   6.13444         0        12.4578         0       64377954304.000000    132245912.000000              0            252        336.109
     1433869512           2457183.250000   6.13444         0        12.4578         0        3844678144.000000     93773568.000000          25491            252        336.131
     1433869512           2457183.250000   6.13444         1        12.4578         0        3800320000.000000     70465792.000000          56174            151        325.109
     1433869512           2457183.250000   6.13444         1        12.4578         0        1527795200.000000     69756160.000000          56174            152        325.219
     1433869512           2457183.250000   6.13444         1        12.4578         0      681843163136.000000    440278144.000000              0            252        336.109
     1433869512           2457183.250000   6.13289         2        12.5586         0        6644668928.000000    117670400.000000          56174            151        325.109
     1433869512           2457183.250000   6.13289         2        12.5586         0        2215586304.000000    109556736.000000          56174            152        325.219
